meter_ref_no,cnic,consumer_name,installation_address,city,province,date,connection_type,sanctioned_load_kw,avg_monthly_bill_pkr,billing_month,billing_year,provider_disco
PESCO-20739974,45501-1000557-9,Khalid Malik,"House 964, Street 16, Warsak Road, Peshawar",Peshawar,KPK,2019-05-03,Residential,3,19075,6,2019,PESCO
LESCO-49158998,45501-1001052-4,Ali Raza Sahib,"House 746, Street 12, DHA Phase 5, Lahore",Lahore,Punjab,2026-09-25,Residential,25,22828,12,2026,LESCO
FESCO-12892324,42101-1000968-6,Chaudhry Asad Iqbal,"House 353, Street 2, Gulberg, Faisalabad",Faisalabad,Punjab,2018-07-05,Residential,50,58064,1,2018,FESCO
FESCO-10051060,42101-1000968-6,Asad Iqbal,"House 353, Street 2, Gulberg, Faisalabad",Faisalabad,Punjab,2024-10-25,Residential,50,26837,4,2024,FESCO
MEPCO-63715947,17301-1001612-4,Chaudhry Ali Raza,"House 998, Street 18, Cantt, Multan",Multan,Punjab,2024-06-04,Commercial,15,325528,7,2024,MEPCO
IESCO-96638979,33100-1000078-6,Chaudhry Fatima Ali,"House 893, Street 1, G-11, Islamabad",Islamabad,Islamabad,2025-01-27,Residential,50,35598,4,2025,IESCO
IESCO-74974922,17301-1000065-5,Chaudhry Huma Ghani,"House 147, Street 13, G-11, Islamabad",Islamabad,Islamabad,2016-04-25,Commercial,3,297361,10,2016,IESCO
MEPCO-46052436,33100-1000070-0,Waseem Akram Sahib,"House 166, Street 30, Bosan Road, Multan",Multan,Punjab,2023-03-29,Residential,7,30684,6,2023,MEPCO
LESCO-53923339,35202-1001720-0,Chaudhry Usman Malik,"House 871, Street 5, DHA Phase 5, Lahore",Lahore,Punjab,2023-04-10,Industrial,10,618323,11,2023,LESCO
HESCO-41363764,61101-1000819-3,Chaudhry Nimra Aslam,"House 638, Street 14, Latifabad, Hyderabad",Hyderabad,Sindh,2016-06-26,Commercial,7,225721,6,2016,HESCO
GEPCO-32840971,35202-1000467-9,U. Farooq,"House 524, Street 7, Civil Lines, Gujranwala",Gujranwala,Punjab,2026-09-27,Residential,15,55068,12,2026,GEPCO
GEPCO-24935633,33100-1001275-5,Danish Butt,"House 587, Street 20, Model Town, Gujranwala",Gujranwala,Punjab,2021-07-10,Residential,15,55137,8,2021,GEPCO
FESCO-88557770,42101-1001749-3,A. Chaudhry,"House 733, Street 16, D Ground, Faisalabad",Faisalabad,Punjab,2019-11-13,Residential,10,42226,12,2019,FESCO
GEPCO-58876324,33100-1001948-6,Chaudhry Asad Iqbal,"House 723, Street 32, Wapda Town, Gujranwala",Gujranwala,Punjab,2017-12-31,Residential,3,28532,3,2017,GEPCO
GEPCO-25202463,54400-1000390-0,Chaudhry Usman Malik,"House 489, Street 34, Civil Lines, Gujranwala",Gujranwala,Punjab,2023-02-22,Residential,3,31341,5,2023,GEPCO
GEPCO-32259950,35202-1001443-1,F. Ali,"House 625, Street 33, Peoples Colony, Gujranwala",Gujranwala,Punjab,2024-02-24,Commercial,7,283702,7,2024,GEPCO
GEPCO-28998901,35202-1001443-1,Fatima Ali,"House 625, Street 33, Peoples Colony, Gujranwala",Gujranwala,Punjab,2024-01-16,Residential,25,24088,10,2024,GEPCO
QESCO-56648479,45501-1001506-2,M. Ahmed,"House 965, Street 34, Jinnah Town, Quetta",Quetta,Balochistan,2023-08-27,Residential,3,39849,4,2023,QESCO
MEPCO-82781582,33100-1000511-7,Taha Hussain Sahib,"House 240, Street 14, Cantt, Multan",Multan,Punjab,2023-05-04,Residential,10,24493,1,2023,MEPCO
MEPCO-23364774,33100-1000511-7,T. Hussain,"House 240, Street 14, Cantt, Multan",Multan,Punjab,2026-07-27,Residential,10,20367,3,2026,MEPCO
IESCO-88136656,33100-1001267-9,A. Khan,"House 942, Street 28, DHA Phase 2, Islamabad",Islamabad,Islamabad,2024-03-28,Residential,3,60900,8,2024,IESCO
HESCO-91851271,33100-1000923-1,Hira Shah,"House 179, Street 28, Auto Bhan, Hyderabad",Hyderabad,Sindh,2021-06-23,Residential,10,68059,8,2021,HESCO
HESCO-85536441,33100-1000923-1,H. Shah,"House 179, Street 28, Auto Bhan, Hyderabad",Hyderabad,Sindh,2026-05-10,Residential,5,40018,3,2026,HESCO
FESCO-56832979,17301-1001397-9,K. Malik,"House 907, Street 6, Gulberg, Faisalabad",Faisalabad,Punjab,2024-09-09,Residential,5,34277,5,2024,FESCO
QESCO-58640933,61101-1001379-3,Nimra Aslam Sahib,"House 216, Street 17, Brewery Road, Quetta",Quetta,Balochistan,2026-06-24,Residential,25,50734,10,2026,QESCO
LESCO-99616485,61101-1000754-8,Chaudhry Rabia Noor,"House 30, Street 17, Gulberg, Lahore",Lahore,Punjab,2023-08-12,Residential,5,47207,11,2023,LESCO
PESCO-18590484,45501-1000658-6,Chaudhry Kamran Qureshi,"House 264, Street 10, University Road, Peshawar",Peshawar,KPK,2016-08-16,Residential,3,39253,9,2016,PESCO
IESCO-44340274,35202-1001742-4,Ahmed Baig,"House 753, Street 8, Bahria Town, Rawalpindi",Rawalpindi,Punjab,2020-02-20,Residential,15,43236,6,2020,IESCO
IESCO-78769915,33100-1000736-2,Chaudhry Muhammad Ahmed,"House 212, Street 5, PWD, Rawalpindi",Rawalpindi,Punjab,2023-02-03,Commercial,15,283106,11,2023,IESCO
IESCO-52659119,33100-1000823-1,Chaudhry Kashif Javed,"House 493, Street 26, DHA Phase 2, Islamabad",Islamabad,Islamabad,2024-12-31,Residential,3,50976,8,2024,IESCO
IESCO-10176490,54400-1001129-3,S. Iqbal,"House 599, Street 5, G-11, Islamabad",Islamabad,Islamabad,2021-06-15,Residential,3,58695,3,2021,IESCO
SEPCO-43472532,17301-1000536-2,S. Qureshi,"House 573, Street 18, New Pind, Sukkur",Sukkur,Sindh,2017-11-03,Residential,5,35550,4,2017,SEPCO
LESCO-84260842,42101-1000958-6,Hira Shah Sahib,"House 713, Street 13, Bahria Town, Lahore",Lahore,Punjab,2018-02-15,Residential,7,52891,5,2018,LESCO
QESCO-39437984,54400-1000129-3,L. Khan,"House 784, Street 15, Brewery Road, Quetta",Quetta,Balochistan,2018-11-01,Residential,50,46633,5,2018,QESCO
FESCO-32992280,35202-1001011-7,Chaudhry Naveed Raza,"House 537, Street 23, People Colony, Faisalabad",Faisalabad,Punjab,2018-03-17,Residential,10,60224,9,2018,FESCO
GEPCO-62331365,33100-1001806-2,T. Hussain,"House 406, Street 34, Model Town, Gujranwala",Gujranwala,Punjab,2016-07-08,Residential,25,44201,9,2016,GEPCO
SEPCO-33456948,42101-1001843-1,Asad Iqbal,"House 982, Street 34, Rohri, Sukkur",Sukkur,Sindh,2020-01-03,Residential,5,60915,7,2020,SEPCO
SEPCO-90860090,33100-1000994-8,Chaudhry Nimra Aslam,"House 348, Street 23, Military Road, Sukkur",Sukkur,Sindh,2025-02-23,Residential,5,23237,7,2025,SEPCO
FESCO-16343456,45501-1001768-6,Chaudhry Kashif Javed,"House 396, Street 4, Gulberg, Faisalabad",Faisalabad,Punjab,2026-12-16,Residential,50,38119,7,2026,FESCO
MEPCO-10548850,17301-1000554-8,Chaudhry Nida Hussain,"House 292, Street 24, Bosan Road, Multan",Multan,Punjab,2016-02-29,Residential,7,5371,8,2016,MEPCO
SEPCO-20390406,45501-1000261-7,Fahad Mirza,"House 65, Street 34, New Pind, Sukkur",Sukkur,Sindh,2018-11-09,Residential,15,41015,11,2018,SEPCO
IESCO-39227022,61101-1000381-7,Chaudhry Naveed Raza,"House 691, Street 12, Saddar, Rawalpindi",Rawalpindi,Punjab,2020-09-19,Residential,3,60745,8,2020,IESCO
IESCO-86739607,54400-1000338-6,Asad Iqbal,"House 82, Street 24, E-11, Islamabad",Islamabad,Islamabad,2017-12-12,Residential,10,26511,3,2017,IESCO
IESCO-61385119,45501-1000524-8,Amna Chaudhry,"House 749, Street 2, Saddar, Rawalpindi",Rawalpindi,Punjab,2022-01-18,Residential,15,33716,9,2022,IESCO
K-50020332,17301-1001786-2,M. Ahmed,"House 105, Street 4, Nazimabad, Karachi",Karachi,Sindh,2022-09-17,Commercial,15,165577,10,2022,K-Electric
PESCO-71244453,54400-1001233-1,F. Ali,"House 919, Street 16, Gulbahar, Peshawar",Peshawar,KPK,2016-02-02,Residential,5,64620,5,2016,PESCO
K-15890136,45501-1001552-4,Umer Farooq Sahib,"House 240, Street 22, DHA Phase 6, Karachi",Karachi,Sindh,2018-08-01,Residential,5,39373,2,2018,K-Electric
FESCO-51492259,17301-1000377-9,Chaudhry Ahmed Baig,"House 95, Street 23, Madina Town, Faisalabad",Faisalabad,Punjab,2016-05-28,Residential,50,72986,9,2016,FESCO
SEPCO-13334382,45501-1000292-4,Umer Farooq,"House 959, Street 7, Barrage Road, Sukkur",Sukkur,Sindh,2025-06-25,Residential,3,36954,7,2025,SEPCO
SEPCO-75807301,33100-1001151-7,Naveed Raza,"House 871, Street 22, Rohri, Sukkur",Sukkur,Sindh,2025-03-30,Commercial,15,279014,6,2025,SEPCO
HESCO-24848422,61101-1001131-7,Saad Qureshi,"House 427, Street 35, Hussainabad, Hyderabad",Hyderabad,Sindh,2026-06-29,Industrial,15,731481,7,2026,HESCO
IESCO-22489092,35202-1001486-2,Fahad Mirza,"House 198, Street 34, F-10, Islamabad",Islamabad,Islamabad,2026-07-25,Residential,5,12133,8,2026,IESCO
IESCO-67674002,61101-1000951-7,Hamza Sheikh,"House 461, Street 9, Bahria Town, Rawalpindi",Rawalpindi,Punjab,2023-12-03,Residential,10,63520,11,2023,IESCO
IESCO-71422700,61101-1000951-7,H. Sheikh,"House 461, Street 9, Bahria Town, Rawalpindi",Rawalpindi,Punjab,2023-05-14,Residential,15,36427,8,2023,IESCO
IESCO-89691289,35202-1000836-2,N. Raza,"House 296, Street 6, DHA Phase 2, Islamabad",Islamabad,Islamabad,2022-02-23,Residential,5,61489,10,2022,IESCO
PESCO-76163232,17301-1001360-0,H. Ghani,"House 209, Street 9, Saddar, Peshawar",Peshawar,KPK,2021-05-16,Residential,5,10789,4,2021,PESCO
K-99958920,54400-1001470-0,Waseem Akram,"House 862, Street 21, Gulshan-e-Iqbal, Karachi",Karachi,Sindh,2026-12-28,Residential,25,27304,7,2026,K-Electric
PESCO-58957763,61101-1000430-0,Z. Ahmed,"House 634, Street 12, Warsak Road, Peshawar",Peshawar,KPK,2023-02-27,Residential,7,64448,12,2023,PESCO
MEPCO-77277859,33100-1001963-1,Hassan Khan,"House 452, Street 1, Bosan Road, Multan",Multan,Punjab,2026-10-12,Residential,7,50671,5,2026,MEPCO
MEPCO-99886353,33100-1001963-1,Hassan Khan,"House 452, Street 1, Bosan Road, Multan",Multan,Punjab,2024-07-01,Residential,25,31577,2,2024,MEPCO
MEPCO-84987222,61101-1000348-6,Chaudhry Shazia Butt,"House 396, Street 9, Bosan Road, Multan",Multan,Punjab,2018-03-29,Residential,3,41035,3,2018,MEPCO
PESCO-48803408,35202-1001903-1,H. Shah,"House 899, Street 35, Saddar, Peshawar",Peshawar,KPK,2016-12-02,Residential,15,61795,3,2016,PESCO
PESCO-63223438,35202-1001903-1,Hira Shah,"House 899, Street 35, Saddar, Peshawar",Peshawar,KPK,2026-11-07,Residential,10,71246,7,2026,PESCO
IESCO-18474487,45501-1001301-7,Hamza Sheikh,"House 287, Street 32, E-11, Islamabad",Islamabad,Islamabad,2020-11-09,Residential,15,60458,3,2020,IESCO
LESCO-38580366,61101-1000249-3,Bilal Ahmed Sahib,"House 430, Street 30, Model Town, Lahore",Lahore,Punjab,2017-07-14,Commercial,25,76345,5,2017,LESCO
HESCO-37823840,45501-1001414-8,Chaudhry Nimra Aslam,"House 237, Street 7, Hussainabad, Hyderabad",Hyderabad,Sindh,2018-04-30,Residential,15,61437,2,2018,HESCO
HESCO-30974442,45501-1000251-7,Hamza Sheikh,"House 584, Street 21, Saddar, Hyderabad",Hyderabad,Sindh,2018-06-04,Residential,50,27597,11,2018,HESCO
K-49443692,42101-1001236-2,S. Qureshi,"House 304, Street 20, Bahadurabad, Karachi",Karachi,Sindh,2020-05-15,Residential,25,3638,11,2020,K-Electric
HESCO-50325103,54400-1000094-8,L. Khan,"House 177, Street 25, Qasimabad, Hyderabad",Hyderabad,Sindh,2019-08-08,Residential,3,73956,7,2019,HESCO
SEPCO-93355053,42101-1001958-6,Shazia Butt,"House 175, Street 30, Military Road, Sukkur",Sukkur,Sindh,2025-05-22,Residential,7,62603,11,2025,SEPCO
FESCO-47642125,42101-1000508-6,K. Javed,"House 128, Street 9, Canal Road, Faisalabad",Faisalabad,Punjab,2026-11-12,Residential,15,34623,7,2026,FESCO
QESCO-77641605,33100-1000500-0,Z. Ahmed,"House 912, Street 18, Satellite Town, Quetta",Quetta,Balochistan,2017-05-22,Residential,10,40016,9,2017,QESCO
QESCO-13961244,33100-1000500-0,Zainab Ahmed,"House 912, Street 18, Satellite Town, Quetta",Quetta,Balochistan,2020-04-13,Commercial,7,237243,2,2020,QESCO
PESCO-67781879,33100-1000387-9,A. Raza,"House 481, Street 32, Warsak Road, Peshawar",Peshawar,KPK,2025-05-24,Residential,5,49190,12,2025,PESCO
FESCO-35220427,33100-1001076-2,Mariam Malik,"House 38, Street 19, Canal Road, Faisalabad",Faisalabad,Punjab,2020-06-01,Residential,15,47939,8,2020,FESCO
MEPCO-17690680,42101-1001636-2,Chaudhry Mariam Malik,"House 600, Street 17, Gulgasht, Multan",Multan,Punjab,2019-03-05,Residential,15,31778,5,2019,MEPCO
K-99331070,61101-1001558-6,Kashif Javed,"House 413, Street 30, Gulshan-e-Iqbal, Karachi",Karachi,Sindh,2021-10-11,Residential,15,73353,1,2021,K-Electric
PESCO-83868634,42101-1000820-0,D. Butt,"House 695, Street 33, Gulbahar, Peshawar",Peshawar,KPK,2026-08-29,Residential,25,31152,8,2026,PESCO
GEPCO-85392039,42101-1000767-9,Khalid Malik,"House 538, Street 4, Civil Lines, Gujranwala",Gujranwala,Punjab,2020-03-09,Residential,7,39498,2,2020,GEPCO
MEPCO-71789199,33100-1001731-7,F. Mirza,"House 354, Street 28, Bosan Road, Multan",Multan,Punjab,2024-01-22,Residential,3,14143,5,2024,MEPCO
QESCO-42316787,33100-1000192-4,M. Tariq,"House 157, Street 16, Satellite Town, Quetta",Quetta,Balochistan,2025-07-12,Residential,10,61030,6,2025,QESCO
HESCO-36761734,54400-1001058-6,F. Ali,"House 560, Street 20, Hussainabad, Hyderabad",Hyderabad,Sindh,2023-03-09,Commercial,7,219544,9,2023,HESCO
HESCO-20343851,54400-1001058-6,F. Ali,"House 560, Street 20, Hussainabad, Hyderabad",Hyderabad,Sindh,2016-06-20,Residential,50,11987,4,2016,HESCO
K-18715179,54400-1001674-8,Nida Hussain,"House 614, Street 2, Nazimabad, Karachi",Karachi,Sindh,2021-12-19,Residential,25,23275,1,2021,K-Electric
MEPCO-70784548,35202-1000471-7,Fahad Mirza,"House 973, Street 10, DHA Multan, Multan",Multan,Punjab,2026-06-23,Residential,25,43457,2,2026,MEPCO
PESCO-32577459,42101-1000555-5,Huma Ghani,"House 486, Street 19, Hayatabad, Peshawar",Peshawar,KPK,2021-08-28,Residential,25,22548,2,2021,PESCO
IESCO-56603194,42101-1001170-0,Danish Butt,"House 948, Street 30, Satellite Town, Rawalpindi",Rawalpindi,Punjab,2022-04-12,Residential,50,58220,9,2022,IESCO
IESCO-25426389,35202-1001054-8,B. Ahmed,"House 388, Street 33, Chaklala, Rawalpindi",Rawalpindi,Punjab,2019-07-02,Residential,5,22872,6,2019,IESCO
FESCO-89651129,35202-1000729-3,N. Hussain,"House 684, Street 9, Madina Town, Faisalabad",Faisalabad,Punjab,2020-06-07,Commercial,15,81285,2,2020,FESCO
QESCO-97993661,54400-1001582-4,Chaudhry Ayesha Khan,"House 677, Street 18, Samungli Road, Quetta",Quetta,Balochistan,2021-06-02,Industrial,7,505338,4,2021,QESCO
QESCO-85730864,54400-1001582-4,Ayesha Khan,"House 677, Street 18, Samungli Road, Quetta",Quetta,Balochistan,2020-01-26,Commercial,5,289015,2,2020,QESCO
QESCO-33478473,54400-1000367-9,M. Tariq,"House 996, Street 24, Cantt, Quetta",Quetta,Balochistan,2025-10-05,Residential,3,24907,7,2025,QESCO
LESCO-84973149,45501-1000063-1,K. Qureshi,"House 971, Street 26, Gulberg, Lahore",Lahore,Punjab,2022-10-15,Residential,7,18857,5,2022,LESCO
IESCO-72412501,54400-1001354-8,Laiba Khan Sahib,"House 137, Street 24, Chaklala, Rawalpindi",Rawalpindi,Punjab,2024-04-27,Residential,50,67436,6,2024,IESCO
IESCO-99864950,54400-1001354-8,Laiba Khan,"House 137, Street 24, Chaklala, Rawalpindi",Rawalpindi,Punjab,2026-09-05,Residential,50,11703,6,2026,IESCO
LESCO-67406976,33100-1001429-3,Chaudhry Nida Hussain,"House 395, Street 2, Model Town, Lahore",Lahore,Punjab,2018-07-11,Commercial,15,283643,2,2018,LESCO
FESCO-32372497,42101-1001322-4,Ahmed Baig,"House 639, Street 14, Madina Town, Faisalabad",Faisalabad,Punjab,2019-07-06,Residential,5,44990,8,2019,FESCO
QESCO-84481045,35202-1001865-5,Zainab Ahmed,"House 101, Street 23, Satellite Town, Quetta",Quetta,Balochistan,2018-09-11,Residential,25,68317,4,2018,QESCO
IESCO-94246951,17301-1000077-9,Ayesha Khan,"House 194, Street 27, Bahria Town, Rawalpindi",Rawalpindi,Punjab,2022-11-15,Residential,25,74504,1,2022,IESCO
HESCO-52571867,45501-1000780-0,Z. Ahmed,"House 276, Street 34, Auto Bhan, Hyderabad",Hyderabad,Sindh,2017-04-02,Residential,15,7030,7,2017,HESCO
QESCO-77793791,35202-1001711-7,N. Raza,"House 48, Street 12, Satellite Town, Quetta",Quetta,Balochistan,2026-07-11,Commercial,15,263985,1,2026,QESCO
IESCO-31176996,54400-1000858-6,Kashif Javed Sahib,"House 100, Street 30, Satellite Town, Rawalpindi",Rawalpindi,Punjab,2026-02-10,Residential,25,13851,10,2026,IESCO
IESCO-51479077,17301-1001709-3,N. Hussain,"House 82, Street 25, Chaklala, Rawalpindi",Rawalpindi,Punjab,2025-12-06,Residential,50,31517,5,2025,IESCO
HESCO-64176467,35202-1000092-4,Chaudhry Muneeb Akhtar,"House 418, Street 5, Latifabad, Hyderabad",Hyderabad,Sindh,2018-08-10,Residential,5,59195,1,2018,HESCO
QESCO-72027869,54400-1000051-7,Fahad Mirza,"House 598, Street 18, Cantt, Quetta",Quetta,Balochistan,2019-11-17,Commercial,15,216802,5,2019,QESCO
IESCO-67651685,45501-1001097-9,Umer Farooq Sahib,"House 806, Street 25, PWD, Rawalpindi",Rawalpindi,Punjab,2019-04-12,Commercial,50,162349,9,2019,IESCO
QESCO-96833792,35202-1000131-7,Chaudhry Mariam Malik,"House 250, Street 7, Jinnah Town, Quetta",Quetta,Balochistan,2025-12-16,Residential,15,74240,1,2025,QESCO
PESCO-58339544,42101-1001090-0,U. Malik,"House 571, Street 19, Hayatabad, Peshawar",Peshawar,KPK,2025-02-12,Commercial,5,298381,12,2025,PESCO
SEPCO-67778925,17301-1000916-2,H. Sheikh,"House 959, Street 26, New Pind, Sukkur",Sukkur,Sindh,2021-03-21,Commercial,25,282236,11,2021,SEPCO
SEPCO-96131386,17301-1000916-2,H. Sheikh,"House 959, Street 26, New Pind, Sukkur",Sukkur,Sindh,2016-05-27,Residential,3,27001,6,2016,SEPCO
K-30792688,42101-1001328-6,Shazia Butt,"House 737, Street 22, Clifton, Karachi",Karachi,Sindh,2016-09-04,Residential,25,72424,9,2016,K-Electric
IESCO-60172664,33100-1000373-1,Asad Iqbal,"House 559, Street 18, E-11, Islamabad",Islamabad,Islamabad,2016-07-08,Residential,10,23446,10,2016,IESCO
GEPCO-40717519,61101-1001002-4,Muneeb Akhtar,"House 778, Street 3, Peoples Colony, Gujranwala",Gujranwala,Punjab,2020-06-29,Residential,5,67748,3,2020,GEPCO
IESCO-69914499,61101-1001086-2,Muhammad Ahmed,"House 220, Street 29, Satellite Town, Rawalpindi",Rawalpindi,Punjab,2020-10-28,Residential,5,10400,2,2020,IESCO
SEPCO-17150399,54400-1001221-7,Naveed Raza,"House 586, Street 7, Queens Road, Sukkur",Sukkur,Sindh,2026-04-28,Residential,50,59734,8,2026,SEPCO
IESCO-10078519,61101-1001362-4,Khalid Malik,"House 685, Street 6, G-11, Islamabad",Islamabad,Islamabad,2020-12-08,Residential,7,66500,9,2020,IESCO
HESCO-42865507,33100-1000724-8,Chaudhry Laiba Khan,"House 491, Street 14, Saddar, Hyderabad",Hyderabad,Sindh,2018-12-29,Residential,10,32449,9,2018,HESCO
PESCO-33383834,33100-1000162-4,Muneeb Akhtar,"House 531, Street 29, Warsak Road, Peshawar",Peshawar,KPK,2024-09-03,Residential,3,27894,9,2024,PESCO
IESCO-95009416,17301-1001804-8,R. Noor,"House 624, Street 27, Saddar, Rawalpindi",Rawalpindi,Punjab,2021-04-04,Residential,25,59027,1,2021,IESCO
GEPCO-12587660,17301-1000849-3,Chaudhry Sana Iqbal,"House 213, Street 14, Civil Lines, Gujranwala",Gujranwala,Punjab,2020-11-15,Residential,15,15771,9,2020,GEPCO
IESCO-11764889,45501-1001451-7,Chaudhry Fahad Mirza,"House 496, Street 4, Chaklala, Rawalpindi",Rawalpindi,Punjab,2020-12-17,Residential,50,56293,3,2020,IESCO
IESCO-50903459,61101-1000503-1,H. Shah,"House 98, Street 20, Chaklala, Rawalpindi",Rawalpindi,Punjab,2018-09-25,Residential,3,9999,1,2018,IESCO
IESCO-29644612,17301-1000335-5,Chaudhry Imran Siddiqui,"House 958, Street 22, F-10, Islamabad",Islamabad,Islamabad,2026-09-22,Residential,5,55461,3,2026,IESCO
IESCO-14090347,17301-1000335-5,I. Siddiqui,"House 958, Street 22, F-10, Islamabad",Islamabad,Islamabad,2022-09-04,Residential,10,49683,3,2022,IESCO
K-40171552,17301-1000561-7,M. Ahmed,"House 190, Street 12, Gulshan-e-Iqbal, Karachi",Karachi,Sindh,2023-09-15,Residential,50,32492,1,2023,K-Electric
K-57665828,17301-1000561-7,Muhammad Ahmed Sahib,"House 190, Street 12, Gulshan-e-Iqbal, Karachi",Karachi,Sindh,2023-01-13,Residential,25,71561,4,2023,K-Electric
HESCO-51672991,33100-1000810-0,Usman Malik,"House 589, Street 2, Hussainabad, Hyderabad",Hyderabad,Sindh,2023-10-29,Residential,15,74811,11,2023,HESCO
IESCO-67550134,17301-1000607-9,Umer Farooq Sahib,"House 325, Street 8, Satellite Town, Rawalpindi",Rawalpindi,Punjab,2022-08-12,Commercial,7,55741,10,2022,IESCO
IESCO-57275228,17301-1000607-9,Chaudhry Umer Farooq,"House 325, Street 8, Satellite Town, Rawalpindi",Rawalpindi,Punjab,2020-07-15,Residential,7,4871,11,2020,IESCO
PESCO-50379595,45501-1001161-7,Hamza Sheikh,"House 627, Street 33, University Road, Peshawar",Peshawar,KPK,2021-05-18,Residential,3,10273,10,2021,PESCO
PESCO-97472200,45501-1001161-7,Chaudhry Hamza Sheikh,"House 627, Street 33, University Road, Peshawar",Peshawar,KPK,2016-01-31,Residential,5,26207,12,2016,PESCO
SEPCO-46884390,35202-1000183-1,Fatima Ali,"House 204, Street 1, Military Road, Sukkur",Sukkur,Sindh,2020-06-05,Residential,50,24009,4,2020,SEPCO
MEPCO-39410338,54400-1001924-8,A. Chaudhry,"House 797, Street 20, Gulgasht, Multan",Multan,Punjab,2023-05-07,Residential,25,68733,8,2023,MEPCO
LESCO-56501035,35202-1000399-3,Nimra Aslam,"House 331, Street 5, Model Town, Lahore",Lahore,Punjab,2026-06-15,Commercial,5,327106,1,2026,LESCO
K-80934442,61101-1000838-6,Chaudhry Shazia Butt,"House 481, Street 25, DHA Phase 6, Karachi",Karachi,Sindh,2024-06-13,Residential,50,46102,12,2024,K-Electric
PESCO-95963958,33100-1000957-9,U. Farooq,"House 813, Street 14, Gulbahar, Peshawar",Peshawar,KPK,2021-10-19,Commercial,7,296769,10,2021,PESCO
MEPCO-23401706,35202-1001638-6,Kamran Qureshi,"House 753, Street 29, Gulgasht, Multan",Multan,Punjab,2021-04-23,Residential,10,4605,1,2021,MEPCO
HESCO-81629014,33100-1001065-5,Danish Butt Sahib,"House 88, Street 21, Auto Bhan, Hyderabad",Hyderabad,Sindh,2022-12-26,Residential,5,46015,9,2022,HESCO
QESCO-64191539,17301-1001274-8,Nimra Aslam Sahib,"House 781, Street 5, Cantt, Quetta",Quetta,Balochistan,2020-07-08,Residential,3,16165,7,2020,QESCO
IESCO-37431800,54400-1001432-4,K. Malik,"House 439, Street 1, Chaklala, Rawalpindi",Rawalpindi,Punjab,2017-01-18,Residential,15,61107,7,2017,IESCO
QESCO-27710940,54400-1000218-6,F. Ali,"House 728, Street 17, Satellite Town, Quetta",Quetta,Balochistan,2023-10-29,Residential,7,29978,6,2023,QESCO
IESCO-26870931,35202-1001503-1,Chaudhry Shazia Butt,"House 610, Street 3, G-11, Islamabad",Islamabad,Islamabad,2024-07-13,Industrial,3,320160,7,2024,IESCO
IESCO-65904142,35202-1000952-4,Chaudhry Ayesha Khan,"House 37, Street 16, G-11, Islamabad",Islamabad,Islamabad,2020-05-03,Commercial,5,126889,11,2020,IESCO
IESCO-83863379,35202-1000952-4,Ayesha Khan,"House 37, Street 16, G-11, Islamabad",Islamabad,Islamabad,2019-04-22,Residential,7,48903,2,2019,IESCO
IESCO-54111230,61101-1001778-6,K. Qureshi,"House 635, Street 30, F-10, Islamabad",Islamabad,Islamabad,2017-08-02,Residential,15,69748,11,2017,IESCO
SEPCO-44659767,35202-1001048-6,S. Butt,"House 286, Street 1, New Pind, Sukkur",Sukkur,Sindh,2018-10-13,Residential,25,22643,12,2018,SEPCO
HESCO-39657594,61101-1001673-1,Chaudhry Kamran Qureshi,"House 61, Street 30, Auto Bhan, Hyderabad",Hyderabad,Sindh,2023-10-10,Commercial,5,247360,5,2023,HESCO
IESCO-60863955,33100-1001478-6,Chaudhry Fatima Ali,"House 128, Street 1, F-10, Islamabad",Islamabad,Islamabad,2025-04-28,Residential,3,54685,6,2025,IESCO
QESCO-30491307,42101-1000619-3,Chaudhry Laiba Khan,"House 113, Street 25, Samungli Road, Quetta",Quetta,Balochistan,2018-06-05,Residential,15,74674,8,2018,QESCO
MEPCO-94175070,35202-1000538-6,Hira Shah,"House 139, Street 1, DHA Multan, Multan",Multan,Punjab,2016-10-10,Residential,5,7127,6,2016,MEPCO
PESCO-19517771,42101-1000701-7,M. Ahmed,"House 227, Street 34, Saddar, Peshawar",Peshawar,KPK,2022-01-04,Residential,15,73497,9,2022,PESCO
QESCO-93285117,35202-1000781-7,Saad Qureshi,"House 988, Street 15, Brewery Road, Quetta",Quetta,Balochistan,2017-11-24,Residential,10,38700,1,2017,QESCO
QESCO-55165264,35202-1001297-9,Chaudhry Ali Raza,"House 479, Street 15, Cantt, Quetta",Quetta,Balochistan,2025-04-15,Commercial,10,234990,10,2025,QESCO
HESCO-17755945,17301-1001799-3,Nimra Aslam Sahib,"House 122, Street 31, Hussainabad, Hyderabad",Hyderabad,Sindh,2025-12-15,Residential,3,50631,1,2025,HESCO
HESCO-15599110,17301-1001799-3,N. Aslam,"House 122, Street 31, Hussainabad, Hyderabad",Hyderabad,Sindh,2016-05-15,Residential,3,73148,7,2016,HESCO
GEPCO-13008803,42101-1000908-6,S. Butt,"House 513, Street 22, Wapda Town, Gujranwala",Gujranwala,Punjab,2022-08-20,Residential,10,58400,7,2022,GEPCO
PESCO-33676561,33100-1000486-2,Naveed Raza,"House 403, Street 32, Gulbahar, Peshawar",Peshawar,KPK,2016-11-26,Residential,5,52376,7,2016,PESCO
