cnic,registry_no,buyer_name,seller_name,property_address,property_value_pkr,transfer_date,area_marla,property_type
71500-4703893-2,REGY-751608,Chaudhry Mark Reed MD,Todd Moore,"Kothi 270, Gulberg, Islamabad",4497893,2024-01-19,5,Plot
58999-3373726-9,REGY-693389,Mr. Kathryn Smith,Kelly Gordon,"Kothi 185, DHA, Islamabad",11786750,2025-02-15,15,House
79059-6201961-6,REGY-831955,A. Lawrence,Nicholas Perez,"House 160, DHA, Islamabad",10821515,2022-11-22,15,Plot
69917-5864072-1,REGY-837287,A. Alvarado,Kimberly Barrett,"Flat 810, DHA, Islamabad",16944915,2022-08-05,15,Apartment
73986-2532126-3,REGY-263195,Melissa A. DDS,Charles Mosley,"Kothi 773, Johar Town, Karachi",34883100,2023-03-01,5,House
65618-9294470-6,REGY-862740,Kathleen A. Smith,Brandon Holt,"Kothi 584, Gulberg, Rawalpindi",6438600,2021-02-19,5,Commercial
53882-4529969-7,REGY-387379,Chaudhry Barbara Olson,Christian Welch,"Kothi 6, DHA, Rawalpindi",6510116,2021-01-14,5,Commercial
56046-8271080-1,REGY-961860,Robert Walker,Amanda Erickson,"Flat 951, Johar Town, Lahore",6096342,2024-03-08,20,Commercial
85001-4592270-6,REGY-487882,M. Marshall,Kaitlyn Petersen,"Kothi 737, DHA, Rawalpindi",10386924,2020-08-20,5,Commercial
65203-2978396-4,REGY-970081,K. Phelps,Shannon Atkinson,"Plot 739, Bahria Town, Rawalpindi",74448257,2024-08-18,20,Commercial
70607-9631924-6,REGY-592732,Mr. Thomas Moreno,Richard Sutton,"Kothi 825, Gulberg, Rawalpindi",6618462,2025-12-01,10,Commercial
73768-4988160-3,REGY-892520,David A. Good,John Kelly,"Plot 790, DHA, Rawalpindi",11583162,2022-05-22,10,Commercial
90691-6482446-5,REGY-643962,Eric Dunlap,Tiffany Kent,"Plot 379, Gulberg, Lahore",23709596,2025-07-16,20,Commercial
46735-4856980-1,REGY-324705,Mr. Amanda Everett,Johnny Davis,"Flat 918, DHA, Lahore",19475265,2020-11-06,20,Apartment
94688-4746222-7,REGY-813696,Ann Mcknight,Tracy Jenkins,"Kothi 400, Gulberg, Rawalpindi",5189947,2023-01-02,20,House
42085-7086318-7,REGY-956863,C. Miles,William Chavez,"Flat 376, Model Town, Karachi",24575620,2025-10-14,20,Apartment
63998-4432692-1,REGY-248443,Donald Williams,Grant Hernandez,"Plot 82, Johar Town, Islamabad",10179578,2022-05-13,5,Plot
27676-7407462-8,REGY-306949,Chaudhry Brenda Thompson,Amber Weaver,"Plot 783, Model Town, Lahore",2216071,2022-07-23,15,House
79498-9399331-8,REGY-111938,Mr. Kelly Taylor,Mrs. Rachel Mason,"Plot 4, Model Town, Islamabad",11624487,2020-07-17,15,Plot
34201-1806275-9,REGY-708874,Julie A. Diaz,Leah Burns,"House 333, Model Town, Islamabad",2808417,2023-05-21,15,House
34916-7300768-4,REGY-973369,T. Neal,Maureen Kirk,"House 600, DHA, Rawalpindi",11957151,2020-03-04,20,House
99845-8110324-1,REGY-452017,Chaudhry Paul Adkins,Kimberly Hickman,"Kothi 632, Johar Town, Rawalpindi",6286253,2024-11-11,10,Commercial
56183-4974308-7,REGY-891293,Dr. Kylie Flores DVM,Tamara Parker,"Plot 10, Johar Town, Karachi",2028480,2022-05-20,5,House
64023-3211652-8,REGY-839503,Mr. Terri Kim,Jennifer Strickland,"Plot 319, Bahria Town, Islamabad",11049098,2021-08-04,5,Apartment
23982-1626274-2,REGY-201227,Christina A. Curtis,Dawn Moreno,"Flat 275, Model Town, Karachi",16685331,2022-08-11,20,Apartment
69288-5849084-2,REGY-699071,S. Eaton,Paige Lewis,"Flat 78, Model Town, Islamabad",21497851,2020-06-06,10,Commercial
97799-9975269-3,REGY-427717,Elizabeth Mckenzie,Edwin Medina,"Flat 45, Gulberg, Rawalpindi",6356827,2025-11-18,5,Plot
23758-3245892-1,REGY-305882,Mr. Cole Graham,Kimberly Ramos,"Flat 685, Model Town, Lahore",10517643,2022-10-20,5,Plot
45937-3614998-2,REGY-316150,Chaudhry Alexandra Miles,Brian Stanley,"Plot 413, Gulberg, Lahore",10598601,2021-02-20,15,House
21498-6903575-1,REGY-944487,Joshua Gordon,Melissa Moyer,"Kothi 599, Model Town, Rawalpindi",6935371,2021-11-03,5,Plot
62125-6049889-7,REGY-303178,W. Shaffer,Dr. Scott Padilla,"Flat 353, Model Town, Rawalpindi",3819665,2022-01-18,5,Commercial
62690-4523907-2,REGY-840156,Chaudhry Frank Juarez,Nicole Jones,"Flat 938, Bahria Town, Rawalpindi",3177203,2023-10-24,20,Commercial
38917-5765305-2,REGY-835223,Andrew Blake,Colleen Sanchez,"Plot 119, Johar Town, Rawalpindi",33542109,2021-08-16,20,Plot
94299-4146176-4,REGY-667984,Lisa Garcia,Danny Davis,"Plot 495, Bahria Town, Islamabad",2924492,2020-11-01,10,Apartment
53034-5688704-7,REGY-687195,Chaudhry Carrie Mason,John Soto,"Kothi 739, Bahria Town, Rawalpindi",10883011,2020-09-26,20,Commercial
91950-9220717-2,REGY-502750,Mr. George Lee,Wendy Curtis,"Kothi 541, Bahria Town, Islamabad",3308443,2023-03-23,10,House
78715-9176485-1,REGY-562339,Whitney A. Holden,Joshua Cooper,"Plot 708, Johar Town, Rawalpindi",3398980,2025-04-26,10,Apartment
75390-5408483-8,REGY-565275,Chaudhry Kevin Mosley,Daniel Garza,"Flat 292, Johar Town, Lahore",10236000,2023-12-01,5,Apartment
42710-9279061-6,REGY-297980,Chaudhry Jill Rodriguez,Travis Duarte,"House 971, Johar Town, Lahore",8584860,2024-12-21,10,Commercial
25405-2662047-8,REGY-801625,R. Campos,Erika Duncan,"Kothi 422, DHA, Islamabad",56737364,2024-10-12,20,Apartment
36965-2475782-8,REGY-980005,Kathryn Herring,Jill Lee,"House 839, Model Town, Rawalpindi",4657369,2024-04-17,20,Commercial
76171-1875669-9,REGY-141677,Mr. Kelly Humphrey,Nicole Hamilton,"House 236, Bahria Town, Rawalpindi",10249631,2025-11-21,20,House
30835-2514721-2,REGY-322678,Dr. Jared Thompson MD,Richard Jordan,"House 758, Bahria Town, Lahore",19642422,2021-07-14,5,Commercial
19974-6590279-3,REGY-584283,Steven Blair,Joseph Morris,"Kothi 225, DHA, Lahore",5620553,2025-01-23,10,Commercial
27863-3926068-9,REGY-838068,Thomas A. Taylor,Marie Moore,"Flat 467, Model Town, Rawalpindi",10018411,2020-09-13,20,Apartment
76364-1205110-9,REGY-716705,Leslie Miller,Rebecca Brown,"Flat 375, DHA, Lahore",11829858,2025-08-22,5,Commercial
10614-3532172-7,REGY-120689,Jimmy A. Abbott,Lisa Lin,"Plot 475, Bahria Town, Lahore",4762514,2023-11-17,5,Commercial
77454-6430804-2,REGY-480818,Angela Jones,Felicia Barrett,"House 144, Gulberg, Karachi",2039479,2025-12-19,20,Plot
88655-2946619-6,REGY-261616,Patrick A. Payne,Amanda Duncan,"Kothi 34, Johar Town, Rawalpindi",22563276,2021-04-27,5,Commercial
27390-7371875-1,REGY-254238,Laurie Snyder,Melissa Schwartz,"Flat 102, DHA, Islamabad",9579938,2020-12-02,5,Apartment
36758-9619743-3,REGY-781163,Krista A. Ramos,Christopher Howard,"Plot 317, Bahria Town, Islamabad",8877364,2022-01-03,10,House
96208-4851961-2,REGY-222716,Mr. Jill Fuller,Timothy Kemp,"Kothi 531, DHA, Islamabad",9953362,2021-03-01,20,House
47173-5881033-3,REGY-201738,Carrie Riley,Shannon Harrison,"Kothi 944, Johar Town, Islamabad",18847394,2025-09-06,5,House
88140-1795757-5,REGY-507444,Steven Moore,Ms. Amber Gamble,"House 704, Bahria Town, Lahore",11640932,2020-09-12,5,House
47206-7105058-7,REGY-250691,Mr. Erika Pitts,Alfred Boyd,"House 330, Johar Town, Islamabad",34497353,2024-10-19,15,House
23922-7311448-9,REGY-361396,Chaudhry Nicole Perry,David Henderson,"House 746, Gulberg, Lahore",7127368,2023-09-02,20,Commercial
62074-3944361-4,REGY-216435,Kevin A. Cervantes,Thomas Wilson,"House 408, DHA, Islamabad",2620360,2025-11-02,15,Apartment
81322-2781449-6,REGY-468292,Chaudhry Christian Garrett,Brandon Cervantes,"Kothi 426, Bahria Town, Rawalpindi",6005661,2024-06-18,10,Plot
12726-4063526-7,REGY-822978,Stephen Nichols,Sherry Graham,"Flat 914, Johar Town, Islamabad",8344401,2022-04-14,20,House
16031-1392670-5,REGY-294294,Chaudhry Jason Barnes,Tyler Spence,"House 663, Bahria Town, Islamabad",8990225,2025-06-16,15,Apartment
26396-9868813-2,REGY-939268,Mr. Courtney Washington,Kelly Thomas,"Flat 173, DHA, Islamabad",77865089,2021-05-25,20,House
91264-5679971-7,REGY-703315,Jeffrey A. Kaufman,Scott Mendoza,"Kothi 609, Johar Town, Rawalpindi",7497345,2025-01-24,20,Apartment
17102-6098171-8,REGY-164464,Chaudhry Catherine Williams,Gail Anderson,"Flat 905, Bahria Town, Lahore",21701795,2023-02-13,5,House
38915-1538604-7,REGY-108543,A. Bailey,Heather Andrade,"House 155, Model Town, Karachi",11700310,2024-09-24,15,House
60781-1214877-7,REGY-908049,Barbara Thompson,Holly Mathis,"House 458, Johar Town, Lahore",4825196,2022-01-04,15,House
99574-2323822-1,REGY-639748,Amanda A. MD,Jessica Turner,"House 735, Model Town, Karachi",24005913,2023-07-07,20,Commercial
69878-2870668-3,REGY-279221,Jeffery Robinson,Angel Dunn,"Plot 931, Model Town, Rawalpindi",6447829,2020-06-21,10,Plot
99701-9992939-7,REGY-963404,Rhonda Morris,Tasha Pruitt,"House 519, Model Town, Rawalpindi",3523205,2020-06-24,5,Plot
26936-7138670-2,REGY-134852,Mr. Paige Lee,Connie Johnson,"Plot 673, Gulberg, Karachi",5431713,2020-03-08,15,Apartment
82001-8959532-9,REGY-858116,Mr. Kara Ryan,Kristin Gibbs,"House 342, DHA, Karachi",27068761,2025-12-21,10,Plot
67212-2798002-3,REGY-551055,Regina A. Smith,Anthony Brown,"Plot 204, Johar Town, Rawalpindi",7052409,2023-05-09,5,House
90703-4105101-8,REGY-649890,Mr. Susan Olson,Joshua Gonzalez,"Kothi 857, Johar Town, Karachi",24866174,2023-02-03,5,Plot
53794-7533901-1,REGY-802071,Mr. Jim Carr,Anna Tran,"Kothi 538, Johar Town, Rawalpindi",2915266,2022-04-05,15,Plot
10347-2784585-8,REGY-297179,Troy A. Petersen,Michael Smith,"Flat 413, Gulberg, Rawalpindi",7787447,2022-05-19,20,Apartment
16864-8094155-2,REGY-149602,B. Murphy,Brian Robinson,"Kothi 778, Model Town, Karachi",11552136,2025-06-07,10,Commercial
51615-3382852-2,REGY-176083,Lawrence Salazar,Kayla Lewis,"Flat 326, Model Town, Karachi",18510573,2020-06-06,10,Plot
52151-1727632-3,REGY-761912,Michael Henderson,Kimberly Jackson,"Kothi 134, Gulberg, Lahore",76393753,2025-05-12,10,Plot
89886-1929392-5,REGY-178291,Richard A. Garcia,Christina Perez,"Kothi 192, Johar Town, Islamabad",6307738,2025-09-08,20,House
25527-1225695-6,REGY-506551,Chaudhry Nicole Gonzalez,Jason Hunter,"House 378, Gulberg, Islamabad",12553500,2020-04-24,20,Plot
53552-2577243-3,REGY-583495,Mr. Angel Williamson,Charles Tapia,"Kothi 815, Model Town, Karachi",9946369,2022-10-25,10,House
29039-6853630-1,REGY-464571,A. Yang,Shawn Phillips,"Flat 708, Johar Town, Rawalpindi",9684935,2024-06-07,15,Commercial
25924-9873848-2,REGY-382649,Chaudhry Samantha Gardner,Todd Hardy,"Kothi 325, Gulberg, Rawalpindi",3352992,2022-07-25,10,House
64498-3550832-3,REGY-177083,Chaudhry Kurt Wheeler,James Snyder,"House 251, Bahria Town, Islamabad",8293458,2024-05-20,15,House
51105-2446086-6,REGY-254186,Chaudhry James Fox,Crystal Moss,"Flat 470, Model Town, Islamabad",10930343,2024-04-12,10,Commercial
64568-3201020-3,REGY-314123,Chaudhry Matthew Pearson,Linda Turner,"Plot 433, Johar Town, Karachi",55527642,2025-10-03,20,House
32391-3958990-5,REGY-293266,Chaudhry Amanda Schneider,Austin Ryan,"House 49, Johar Town, Rawalpindi",5721857,2023-11-04,10,House
61867-2431760-8,REGY-652684,Margaret A. Allen,Brett Sanchez,"Flat 964, DHA, Karachi",9413899,2023-12-02,10,Plot
82622-7016686-3,REGY-117481,Chaudhry Amanda Stevens,Anthony Johnson,"House 611, Bahria Town, Rawalpindi",2747493,2024-07-13,5,House
55183-9126496-2,REGY-490141,G. Walker,Jessica Fitzgerald,"Plot 409, Model Town, Rawalpindi",4056274,2025-07-04,20,Commercial
59602-5663314-6,REGY-404018,Chelsea Hood,Dr. Monique James,"Flat 102, Model Town, Lahore",6346292,2024-02-05,20,Commercial
87728-1167974-7,REGY-850029,Mr. Christopher Morgan,Shawn Reilly,"Kothi 632, Gulberg, Rawalpindi",15291862,2021-07-28,10,Commercial
68031-2657786-2,REGY-971234,Mr. Ariel Mclean,Ashley Ritter,"House 345, Model Town, Karachi",2220548,2025-04-13,10,Commercial
28863-2075379-7,REGY-401111,J. Fischer,Crystal Fox,"House 231, DHA, Karachi",8083861,2024-06-09,10,Plot
66176-4620296-1,REGY-968005,Chaudhry Chad Farmer,Maria Burnett,"Plot 12, Johar Town, Islamabad",11560021,2024-06-16,15,Apartment
38059-5303396-8,REGY-666633,Mr. Andrea Thompson,Leonard Dean,"Kothi 177, Gulberg, Karachi",4548365,2020-10-06,10,House
47346-6958044-8,REGY-955486,J. Johnston,Melissa Dillon,"Plot 779, Gulberg, Islamabad",11844822,2021-11-01,20,Plot
76138-4068470-1,REGY-601320,Mr. Heather Ward,Samuel Riddle,"Plot 358, Johar Town, Lahore",2908576,2022-03-03,5,Commercial
40369-7503890-8,REGY-906719,Chaudhry Krista Lopez,Christopher Clark,"House 374, DHA, Karachi",9954277,2021-03-06,15,Commercial
30431-2099141-5,REGY-805295,Mr. Teresa Yates,Joseph Torres,"Plot 98, Johar Town, Karachi",4105578,2022-02-14,15,Commercial
63671-4385263-6,REGY-296132,Teresa A. Le,Drew Wheeler,"House 323, Bahria Town, Lahore",8626915,2025-02-08,10,Apartment
88487-6862338-7,REGY-926032,C. Martin,Anthony Collins,"Kothi 332, Johar Town, Karachi",11274938,2024-07-25,5,Commercial
49837-3695576-7,REGY-852814,Chaudhry Deborah Patterson,Julie Santana,"Flat 688, Gulberg, Rawalpindi",2404052,2024-07-06,15,House
24354-6523272-8,REGY-150244,Jill Richardson,Cameron Reed,"House 305, Gulberg, Karachi",10466514,2021-04-01,20,House
65123-5514861-9,REGY-749642,S. Gutierrez,Patrick Johnson,"Kothi 730, Gulberg, Rawalpindi",35397324,2021-06-20,20,Commercial
64238-2097432-6,REGY-730491,Chaudhry Sarah Pierce,John Wallace,"Plot 263, Gulberg, Rawalpindi",7740178,2025-04-16,5,Apartment
68095-8451638-1,REGY-374954,Chaudhry Miss Heather Richardson PhD,Sandra Garcia,"Plot 25, Gulberg, Rawalpindi",23952568,2024-12-26,15,Plot
50595-9956076-9,REGY-619974,Chaudhry Randy Kennedy,Matthew Garcia,"House 314, Gulberg, Rawalpindi",8746654,2025-09-15,10,House
17063-1667160-3,REGY-840769,Mr. Rebekah Gibson,Louis Robbins,"Plot 107, Johar Town, Islamabad",72046083,2020-05-09,20,Plot
77907-7405204-8,REGY-486667,Chaudhry Tina Bowman,Christopher Brown,"Flat 451, Bahria Town, Rawalpindi",10865345,2023-01-13,5,House
97447-2354075-1,REGY-437581,Chaudhry Kristina Ochoa,Brandon Miller,"Kothi 109, Bahria Town, Lahore",6559264,2021-12-23,15,Commercial
46884-1065255-6,REGY-361964,Diana Tate,Amy Smith,"Kothi 923, Model Town, Lahore",3515196,2020-10-21,15,Plot
23468-2559795-5,REGY-690214,Chaudhry Catherine Roman,Andre Anderson,"Flat 69, Gulberg, Rawalpindi",9341382,2022-08-28,15,House
23029-9049582-5,REGY-768485,Lisa Henderson,Catherine Spence,"House 215, Model Town, Karachi",7420294,2020-05-24,10,House
47090-8286026-7,REGY-547257,Mr. Heather Singh PhD,Jeremiah Russell,"House 42, Bahria Town, Lahore",74131006,2020-12-23,5,House
37631-7999212-6,REGY-777634,L. Estrada,Elizabeth Prince,"Flat 43, Johar Town, Islamabad",10228008,2020-09-12,20,House
55317-7876890-7,REGY-280886,Mr. Christine Torres,Troy Smith,"Flat 353, Bahria Town, Rawalpindi",17029166,2024-10-18,20,Plot
53877-3833485-8,REGY-626797,Mr. Dana Hicks,Matthew Anderson,"Flat 536, Model Town, Karachi",64124859,2021-06-12,20,Plot
66258-8472075-5,REGY-385656,Laura A. Walker,Margaret Whitehead,"Flat 522, Bahria Town, Rawalpindi",2417845,2025-06-13,15,Plot
54709-4373246-9,REGY-924537,Chaudhry Jennifer Harrell,Ronald Vincent,"House 954, Bahria Town, Karachi",11166354,2024-05-10,10,House
84247-7633004-3,REGY-287720,J. Clark,Kimberly Bennett,"Plot 93, DHA, Islamabad",11088295,2020-09-02,5,Apartment
66905-4911204-9,REGY-178168,Victor A. Macdonald,Jose Gordon,"Flat 378, Johar Town, Lahore",7022850,2020-05-15,5,Apartment
16386-7453754-6,REGY-941866,Julie Howard PhD,Kimberly Green,"House 928, Gulberg, Rawalpindi",7047391,2023-10-11,20,House
88456-9399267-5,REGY-644913,Erica Day,Isaiah Diaz,"House 378, Bahria Town, Islamabad",11160710,2025-01-05,5,Apartment
87942-8817635-7,REGY-196234,Brian Sandoval,Connie Hicks,"Plot 22, Gulberg, Rawalpindi",7099749,2023-08-10,10,Plot
42848-8256556-6,REGY-394491,Denise Oconnor,Dr. Sarah Hill,"Flat 622, Gulberg, Rawalpindi",21668459,2024-11-11,20,Commercial
10297-2928590-3,REGY-108343,Mr. Christian Armstrong,Kathleen Caldwell,"House 456, Gulberg, Rawalpindi",2552783,2021-07-22,10,Plot
92429-8406171-5,REGY-559221,Bradley Warner,Todd Clark,"House 951, DHA, Lahore",12688940,2021-04-27,15,Commercial
72861-1794868-8,REGY-274685,C. Solomon,Stephanie Bradshaw,"Flat 720, Gulberg, Lahore",9441352,2021-05-02,10,Apartment
85145-9657072-4,REGY-918434,Mr. Thomas Jones,Chad Bond,"Flat 655, Bahria Town, Rawalpindi",14576983,2021-02-23,15,House
22269-5964126-2,REGY-307398,Ray Beck,Joshua Welch,"Kothi 297, Bahria Town, Karachi",9171128,2022-04-18,10,Plot
13975-5710033-5,REGY-688973,Mr. Michael Moyer,Kathryn Martin,"Kothi 834, Bahria Town, Lahore",10553983,2022-01-06,20,House
97392-1902581-8,REGY-485819,Chaudhry Kimberly Villegas,Mark Alvarado,"Kothi 110, DHA, Lahore",63874140,2023-06-08,5,Apartment
56119-6477866-8,REGY-280742,Mr. Adrian Martin,Christopher Mathews,"Kothi 612, Bahria Town, Lahore",3433660,2020-09-11,15,House
71285-1500533-1,REGY-511915,Ms. A. PhD,Mr. Anthony Gutierrez,"Plot 415, Gulberg, Rawalpindi",6522160,2022-01-18,10,Apartment
27181-9479896-8,REGY-417602,Monique Perez DDS,Shannon Brown,"Kothi 339, Bahria Town, Lahore",4928426,2021-08-14,5,House
33741-3790998-1,REGY-642957,I. Munoz,James Barrera,"Flat 741, DHA, Lahore",6301049,2024-06-13,10,Commercial
53508-4096228-9,REGY-934748,Ricky A. Hill,Connor Blackburn,"Kothi 172, DHA, Karachi",5957107,2024-01-01,5,Commercial
63585-8352216-2,REGY-372536,M. Brown,Kyle Rubio,"Kothi 110, Bahria Town, Islamabad",5301489,2023-04-11,5,House
53540-4715892-3,REGY-230574,Jamie A. Taylor,Annette Foster,"Flat 127, Johar Town, Rawalpindi",9999104,2024-01-20,15,Commercial
41542-4195555-8,REGY-440750,Lauren Sims,Courtney Hanson,"House 206, DHA, Karachi",11886731,2024-12-24,5,House
38950-1791534-2,REGY-876575,Jacob A. Lee,John Hall,"House 144, Model Town, Rawalpindi",10384482,2025-02-19,15,Plot
17823-7467125-9,REGY-668254,Katherine Payne,Laura Rivera,"Plot 298, Johar Town, Lahore",4302168,2024-03-15,20,Apartment
69438-9588045-2,REGY-422228,Chaudhry Jason Martinez,Amy Morgan,"Kothi 353, Gulberg, Lahore",2441843,2022-08-14,20,House
28335-6060961-9,REGY-622677,Mr. Erica Patrick,Melissa Fox,"Kothi 529, Bahria Town, Rawalpindi",72349492,2020-07-11,5,Plot
32775-9223075-7,REGY-665482,Mr. Jerry Crawford MD,Dr. Eugene Elliott PhD,"Flat 257, Gulberg, Karachi",9166909,2023-04-06,20,Apartment
37264-5762876-7,REGY-207445,Chaudhry Jennifer Anthony DDS,Charles Wallace,"Plot 316, Model Town, Rawalpindi",10824295,2022-01-11,20,House
56961-8879239-4,REGY-209257,Mr. Robert Lynch,Richard Williams,"Flat 843, Model Town, Islamabad",3988104,2022-10-26,10,Commercial
30848-8366915-1,REGY-830515,Robert Stewart,Cynthia Wilson,"Kothi 537, Johar Town, Karachi",49514725,2024-05-17,5,House
99491-5382919-9,REGY-348729,Mr. Cindy Richards,Allison Lynch,"Kothi 245, DHA, Rawalpindi",9290142,2024-10-04,5,Commercial
64035-6824246-6,REGY-381175,Edward A. Jones,Lori Meyer,"Plot 552, Gulberg, Lahore",21415592,2023-01-23,5,Apartment
89267-8242187-5,REGY-888594,Chaudhry Michele Santos,Larry Peterson,"Plot 159, Johar Town, Rawalpindi",38732948,2023-05-05,15,Plot
77838-8441782-3,REGY-592975,Maria A. Turner,Kristen Rowland,"Flat 988, Gulberg, Lahore",23769999,2021-11-01,10,House
50177-9758069-9,REGY-630169,M. Hall,Sean Yu,"House 664, Model Town, Karachi",10910931,2024-04-03,5,Apartment
92441-6997126-7,REGY-818489,H. Watson,Garrett Stanley,"Flat 852, Johar Town, Rawalpindi",11256635,2020-11-16,15,House
85123-7542920-4,REGY-231220,Mr. Rhonda Hardy,Dustin Martinez,"Plot 324, Model Town, Rawalpindi",8262460,2020-07-16,5,Plot
52660-1241332-8,REGY-154837,Chaudhry Hector Johnson,Monique Jackson,"Kothi 538, Gulberg, Karachi",11334939,2021-06-08,10,House
12702-2115450-9,REGY-721284,Mr. Christopher Bell,Richard Morgan,"Plot 581, Johar Town, Lahore",71692813,2024-04-06,10,Commercial
68625-9523801-7,REGY-206259,A. Collins,Jacob Sims,"Flat 880, Bahria Town, Rawalpindi",71792382,2024-08-13,5,House
65143-6766074-9,REGY-660937,Gabrielle Walker,Megan Hall,"Kothi 374, Bahria Town, Rawalpindi",3283613,2024-04-17,10,Apartment
92204-9674684-1,REGY-650155,Chaudhry Kristie Perez,John Riggs,"Flat 526, Model Town, Rawalpindi",2139692,2023-05-13,10,House
86135-4879723-7,REGY-352661,Melinda A. Luna,Cheryl Williams,"Kothi 958, Johar Town, Lahore",21612665,2025-06-03,15,House
84118-5066010-4,REGY-903700,Eric Green,Eric Lane,"Flat 673, Model Town, Islamabad",9205609,2025-05-25,5,Plot
88059-9880665-1,REGY-968662,Chaudhry Brian Stewart,Kaitlyn Wallace,"House 861, Bahria Town, Karachi",3974641,2021-01-24,20,Commercial
50660-6154916-9,REGY-796989,Amanda Miller,Ronald Cooper,"Plot 759, Johar Town, Karachi",10668152,2021-07-18,15,House
63883-2177344-3,REGY-932207,Mr. Jill Hughes,Sherry Frazier,"Plot 861, Model Town, Rawalpindi",2643249,2024-12-15,15,Plot
21570-5948097-6,REGY-233777,C. James,Daniel Wood,"Plot 150, Gulberg, Karachi",52946456,2023-06-24,10,Plot
94837-6043058-4,REGY-995925,Chaudhry Susan Gonzales DDS,John Ray,"Plot 143, DHA, Karachi",6502950,2024-02-12,10,Plot
75742-9082143-4,REGY-186425,E. Sanders,Michael Cuevas,"Plot 750, Bahria Town, Rawalpindi",2498957,2020-03-23,5,Apartment
23621-4659830-6,REGY-373019,Chaudhry John Diaz,Mary Holland,"Kothi 110, Bahria Town, Islamabad",15639749,2025-02-07,10,Apartment
74455-4207315-9,REGY-265999,Mr. Gabrielle Moore,Keith Goodman,"Plot 185, Gulberg, Rawalpindi",13109271,2020-06-04,15,House
28933-5824957-4,REGY-719097,Hannah Hurley,Ms. Stephanie Mora,"House 750, DHA, Rawalpindi",9732078,2021-06-09,15,Apartment
90211-4575023-7,REGY-700706,Mr. William Crane,Shelly Coleman DDS,"Kothi 265, Gulberg, Rawalpindi",22347680,2025-11-05,15,House
73264-4572610-3,REGY-474762,A. Greene,Carrie Ortiz,"House 105, Model Town, Islamabad",6723994,2024-01-25,20,Apartment
48688-8174668-6,REGY-444406,Emma Moreno,Christopher Weaver,"Kothi 555, Bahria Town, Karachi",3997048,2023-05-14,10,Plot
19262-7907587-5,REGY-369123,Anthony Ferguson,Rebecca Meadows,"Kothi 937, Bahria Town, Karachi",2972838,2020-11-03,15,House
16877-4789047-3,REGY-849087,Mr. Robin Miller,Steven Ross,"Kothi 667, Johar Town, Islamabad",33652019,2024-03-03,5,Apartment
39703-1454862-4,REGY-927683,D. Bowman,Debra Flowers,"Kothi 428, DHA, Karachi",15840528,2024-04-03,15,Apartment
93604-3853292-3,REGY-791444,Kenneth A. Fritz,Robert Shaw,"Plot 780, Johar Town, Rawalpindi",7583009,2023-06-16,5,House
69433-1979536-4,REGY-845610,Jessica Cooke,Lisa Marquez,"Plot 328, Gulberg, Islamabad",7613957,2023-05-28,15,Commercial
13853-1719523-6,REGY-693251,Daniel Aguilar,Cristina Brown,"Flat 422, Bahria Town, Lahore",5307183,2025-07-13,15,Apartment
64776-8263012-3,REGY-894443,Chaudhry Allen Williams,Denise French,"House 895, Bahria Town, Islamabad",19707967,2025-01-26,10,Plot
40042-5128004-3,REGY-783035,Sara A. Brown,James Dixon,"Kothi 797, Bahria Town, Lahore",25684651,2024-02-08,15,Plot
34381-8320873-7,REGY-166369,Chaudhry Martin Castillo MD,Mr. Joseph Wilson,"Kothi 341, DHA, Karachi",11066328,2022-01-20,15,Apartment
44400-4625066-5,REGY-555928,J. Gonzalez,Rebecca Kane,"Flat 923, DHA, Karachi",8301764,2022-05-13,5,Apartment
65419-4002780-5,REGY-921920,Chaudhry Mary Copeland,Renee Holmes,"Flat 251, Johar Town, Lahore",10443196,2022-08-25,15,Apartment
77502-9949780-9,REGY-310060,Mark Santos,Margaret Boyd,"House 217, Gulberg, Islamabad",2852237,2020-03-08,20,Apartment
92958-5234502-3,REGY-836895,William A. Caldwell,Christopher Patrick,"House 805, Gulberg, Islamabad",54689042,2022-05-01,15,Plot
65069-3185033-8,REGY-783567,Jennifer A. Torres,Virginia Baker,"Flat 709, DHA, Lahore",9422679,2024-11-09,15,House
97395-7644420-5,REGY-380539,Jason A. Holland,Alexis Rose,"Kothi 254, Gulberg, Lahore",8903119,2021-08-21,15,Commercial
56098-4702950-8,REGY-502859,D. Bass,Amber Thompson,"House 313, Johar Town, Lahore",11775882,2024-08-11,5,House
81036-1729069-2,REGY-419540,R. Carpenter,Brittany Yu,"Kothi 425, Bahria Town, Rawalpindi",5007049,2024-10-19,10,Plot
87750-5890195-6,REGY-307054,Mr. Christian Hampton,James Lopez,"Kothi 119, DHA, Rawalpindi",22160296,2021-06-04,15,Plot
44396-6112476-7,REGY-906171,Danielle A. Washington,Chad Ross,"Plot 618, Gulberg, Lahore",10568479,2025-08-20,20,Plot
64971-9692554-6,REGY-753217,Derrick Wagner,Melinda Guzman,"Flat 708, DHA, Rawalpindi",20492795,2024-03-05,10,House
90934-7952815-4,REGY-918899,Hannah A. Wolfe,Gerald Johnson,"House 442, Johar Town, Karachi",5567448,2022-08-11,10,House
99492-4074436-6,REGY-496196,Mr. Pamela Grant,Amanda Kelly,"Plot 325, Johar Town, Karachi",2512674,2022-08-22,15,Plot
64096-1947952-7,REGY-975250,Christopher Bates,Robert Johnson,"Plot 253, Johar Town, Rawalpindi",44430794,2023-05-04,15,House
